Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
2,37005,0,21838,0.71,25
3,34709,0.94,26478,1.21,13689
4,34078,0.98,26071,0.98,8550
5,34693,1.02,26333,1.01,9087
6,33682,0.97,26029,0.99,8411
7,36138,1.07,26373,1.01,9118
8,35915,0.99,26678,1.01,9521
9,35424,0.99,26880,1.01,9251
10,33847,0.96,26615,0.99,8785
11,31263,0.92,24767,0.93,6737
12,29404,0.94,22917,0.93,6213
13,28374,0.96,21857,0.95,6470
14,27861,0.98,21546,0.99,6979
15,28699,1.03,21581,1,7266
16,29237,1.02,22109,1.02,7848
17,29608,1.01,22462,1.02,7805
18,31702,1.07,23705,1.06,8934
19,32011,1.01,24457,1.03,8976
20,33689,1.05,25063,1.02,8760
21,34512,1.02,25976,1.04,9586
22,36110,1.05,26841,1.03,9729
23,37195,1.03,27787,1.04,10022
24,37848,1.02,28170,1.01,9834
25,38507,1.02,29053,1.03,10442
26,39185,1.02,29191,1,10054
27,38121,0.97,29258,1,9817
28,39571,1.04,29156,1,9518
29,39821,1.01,29602,1.02,10393
30,41103,1.03,30496,1.03,11008
31,39553,0.96,30351,1,10170
2,37785,0,21598,0.71,24
3,34865,0.92,26754,1.24,14427
4,35353,1.01,26539,0.99,8830
5,36225,1.02,27438,1.03,9932
6,38609,1.07,28857,1.05,10711
7,38045,0.99,29020,1.01,9896
8,36982,0.97,28351,0.98,9048
9,37056,1,27612,0.97,8739
10,34633,0.93,26715,0.97,8276
11,33074,0.95,25488,0.95,7430
12,31021,0.94,24261,0.95,7268
13,30396,0.98,23223,0.96,6969
14,30989,1.02,23464,1.01,8095
15,31423,1.01,23461,1,7808
16,32731,1.04,24527,1.05,9266
17,34428,1.05,25731,1.05,9499
18,34505,1,26267,1.02,9393
19,34466,1,26254,1,8761
20,36256,1.05,26703,1.02,9317
21,36445,1.01,27384,1.03,10035
22,38971,1.07,29223,1.07,11204
23,38562,0.99,28630,0.98,9324
24,39835,1.03,29880,1.04,11255
25,40812,1.02,29850,1,10197
26,41398,1.01,30674,1.03,10985
27,43614,1.05,32696,1.07,12549
28,43060,0.99,32405,0.99,10751
29,45212,1.05,33344,1.03,11995
30,44806,0.99,33661,1.01,11789
31,45439,1.01,33498,1,11336
2,36905,0,21839,0.71,20
3,33758,0.91,25845,1.18,12888
4,35105,1.04,26422,1.02,9240
5,36617,1.04,27250,1.03,9946
6,35581,0.97,27417,1.01,9332
7,38031,1.07,28172,1.03,9892
8,36786,0.97,28289,1,9750
9,35704,0.97,27084,0.96,8140
10,33015,0.92,25604,0.95,7659
11,30884,0.94,23974,0.94,6813
12,29285,0.95,22638,0.94,6440
13,28983,0.99,22351,0.99,7257
14,29725,1.03,22510,1.01,7535
15,30162,1.01,23093,1.03,8188
16,32200,1.07,24014,1.04,8824
17,32442,1.01,24304,1.01,8498
18,34260,1.06,25104,1.03,9213
19,35151,1.03,26629,1.06,10303
20,35662,1.01,26964,1.01,9384
21,36214,1.02,26870,1,8984
22,37040,1.02,27716,1.03,10049
23,37419,1.01,28128,1.01,9801
24,37273,1,28046,1,9472
25,37274,1,28178,1,9698
26,38633,1.04,28797,1.02,10031
27,38059,0.99,28687,1,9739
28,37357,0.98,28264,0.99,9342
29,38646,1.03,28862,1.02,10177
30,40266,1.04,29835,1.03,10803
31,40985,1.02,30834,1.03,11066
2,37717,0,21514,0.71,30
3,35339,0.94,27140,1.26,14807
4,34453,0.97,26510,0.98,8362
5,34712,1.01,26560,1,8857
6,36735,1.06,27250,1.03,9500
7,39235,1.07,28631,1.05,10758
8,37690,0.96,28893,1.01,10128
9,35933,0.95,27673,0.96,8353
10,34559,0.96,26495,0.96,8067
11,32283,0.93,25211,0.95,7469
12,30134,0.93,23653,0.94,6712
13,29375,0.97,22378,0.95,6539
14,29514,1,22973,1.03,8133
15,29414,1,22694,0.99,7184
16,30422,1.03,23138,1.02,7975
17,32248,1.06,24177,1.04,8911
18,34053,1.06,25729,1.06,9724
19,34951,1.03,26579,1.03,9504
20,37449,1.07,27725,1.04,9869
21,38541,1.03,28920,1.04,10698
22,40194,1.04,30341,1.05,11359
23,41130,1.02,30401,1,10398
24,40737,0.99,30233,0.99,10330
25,41837,1.03,31639,1.05,11939
26,42751,1.02,31772,1,10802
27,44989,1.05,32965,1.04,12122
28,46052,1.02,33938,1.03,12399
29,44381,0.96,33666,0.99,11358
30,44610,1.01,32997,0.98,10594
31,44657,1,33760,1.02,12084
2,35636,0,21256,0.71,27
3,33668,0.94,25653,1.21,13198
4,33799,1,25576,1,8583
5,33794,1,25782,1.01,8889
6,34285,1.01,26136,1.01,9155
7,34459,1.01,25960,0.99,8690
8,35082,1.02,26473,1.02,9302
9,34756,0.99,26833,1.01,9234
10,32087,0.92,25180,0.94,7125
11,30285,0.94,23853,0.95,6915
12,29353,0.97,22697,0.95,6666
13,27794,0.95,21787,0.96,6466
14,28170,1.01,21607,0.99,6869
15,28005,0.99,21184,0.98,6954
16,29343,1.05,22217,1.05,8184
17,30974,1.06,23338,1.05,8645
18,32970,1.06,24464,1.05,9229
19,33979,1.03,25831,1.06,9748
20,33975,1,25467,0.99,8316
21,36044,1.06,26656,1.05,10110
22,38307,1.06,28107,1.05,10734
23,38159,1,28804,1.02,10413
24,39397,1.03,28994,1.01,9849
25,39930,1.01,29894,1.03,10903
26,39680,0.99,29740,0.99,10084
27,40027,1.01,29773,1,10039
28,40525,1.01,30725,1.03,11178
29,42328,1.04,30986,1.01,10514
30,41305,0.98,30910,1,10535
31,41970,1.02,31409,1.02,10944
2,35397,0,21612,0.71,27
3,32862,0.93,25374,1.17,12636
4,33752,1.03,25354,1,8431
5,35219,1.04,26454,1.04,9845
6,36616,1.04,26896,1.02,9660
7,36884,1.01,27641,1.03,9938
8,37234,1.01,28014,1.01,9741
9,34885,0.94,26933,0.96,8389
10,33081,0.95,25431,0.94,7374
11,31226,0.94,24424,0.96,7537
12,29946,0.96,23043,0.94,6644
13,29297,0.98,22462,0.97,7049
14,28300,0.97,21826,0.97,6735
15,28080,0.99,21512,0.99,6967
16,29139,1.04,21984,1.02,7700
17,30674,1.05,22693,1.03,8222
18,30641,1,23397,1.03,8602
19,32052,1.05,23999,1.03,8488
20,33001,1.03,24875,1.04,9175
21,34181,1.04,25859,1.04,9537
22,36374,1.06,27031,1.05,9950
23,36952,1.02,27966,1.03,10086
24,36895,1,28075,1,9542
25,38449,1.04,28415,1.01,9653
26,38614,1,28986,1.02,10206
27,40176,1.04,29796,1.03,10726
28,40506,1.01,30184,1.01,10437
29,41632,1.03,31062,1.03,11190
30,41418,0.99,30959,1,10298
31,40904,0.99,30927,1,10523
2,38577,0,21657,0.71,19
3,36447,0.94,28157,1.3,15712
4,35885,0.98,27335,0.97,8627
5,36454,1.02,27449,1,9294
6,36968,1.01,27896,1.02,9677
7,37897,1.03,28285,1.01,9907
8,38255,1.01,28476,1.01,9802
9,36995,0.97,27911,0.98,9118
10,35186,0.95,26899,0.96,8301
11,33875,0.96,26344,0.98,8253
12,31553,0.93,24452,0.93,6874
13,30221,0.96,23876,0.98,7471
14,30183,1,23052,0.97,6925
15,30100,1,22972,1,7628
16,29960,1,22810,0.99,7696
17,32252,1.08,23825,1.04,8673
18,33470,1.04,25135,1.05,9425
19,35535,1.06,26118,1.04,9697
20,36765,1.03,27262,1.04,10153
21,38178,1.04,28571,1.05,10578
22,39437,1.03,29377,1.03,10463
23,40532,1.03,30030,1.02,10686
24,41164,1.02,30884,1.03,11198
25,41585,1.01,31192,1.01,10762
26,41958,1.01,31513,1.01,10994
27,42704,1.02,31704,1.01,10660
28,43881,1.03,32479,1.02,11626
29,45176,1.03,33095,1.02,11884
30,45476,1.01,33960,1.03,12184
31,45005,0.99,33567,0.99,10972
2,37634,0,21870,0.72,36
3,35763,0.95,27291,1.25,14629
4,36870,1.03,27332,1,9300
5,37405,1.01,28176,1.03,10080
6,37009,0.99,27841,0.99,9212
7,38283,1.03,28405,1.02,10079
8,37438,0.98,28484,1,9675
9,36363,0.97,27846,0.98,8964
10,33576,0.92,26120,0.94,7512
11,31802,0.95,24500,0.94,7073
12,29333,0.92,22961,0.94,6573
13,28400,0.97,22039,0.96,6661
14,28277,1,21540,0.98,6779
15,29647,1.05,22250,1.03,8087
16,30618,1.03,22988,1.03,8250
17,32057,1.05,23889,1.04,8710
18,32120,1,24464,1.02,8672
19,33952,1.06,25378,1.04,9183
20,35246,1.04,26216,1.03,9568
21,36828,1.04,27116,1.03,9980
22,37795,1.03,28203,1.04,10541
23,39669,1.05,29641,1.05,11033
24,39676,1,30052,1.01,10409
25,40409,1.02,30496,1.01,10615
26,41915,1.04,31339,1.03,11209
27,43506,1.04,32281,1.03,11564
28,42720,0.98,32040,0.99,10772
29,43061,1.01,32418,1.01,11352
30,42294,0.98,32106,0.99,10606
31,42808,1.01,32113,1,10802
2,36958,0,21771,0.71,31
3,34905,0.94,26984,1.24,14303
4,36567,1.05,27495,1.02,9451
5,36906,1.01,27793,1.01,9552
6,38396,1.04,29034,1.04,10671
7,38850,1.01,29432,1.01,10239
8,38739,1,29284,0.99,9639
9,35997,0.93,27887,0.95,8274
10,34100,0.95,26492,0.95,7740
11,32080,0.94,24991,0.94,7261
12,30125,0.94,23347,0.93,6463
13,29038,0.96,22306,0.96,6799
14,29331,1.01,21935,0.98,7224
15,29694,1.01,22297,1.02,7930
16,31141,1.05,23315,1.05,8593
17,33402,1.07,24702,1.06,9317
18,32928,0.99,25063,1.01,8981
19,33390,1.01,25204,1.01,8609
20,34699,1.04,25955,1.03,9370
21,36410,1.05,26937,1.04,9919
22,35975,0.99,27480,1.02,9764
23,36519,1.02,27970,1.02,9659
24,39757,1.09,29252,1.05,10752
25,39348,0.99,29947,1.02,10675
26,40538,1.03,30348,1.01,10382
