Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
2,35983,0,21098,0.7,0
3,33158,0.92,25424,1.21,13383
4,34453,1.04,26057,1.02,9307
5,35654,1.03,26359,1.01,9370
6,37103,1.04,27445,1.04,10278
7,37498,1.01,27696,1.01,10011
8,35958,0.96,27092,0.98,8990
9,33046,0.92,25581,0.94,7609
10,30142,0.91,23422,0.92,6475
11,26895,0.89,21521,0.92,5915
12,22927,0.85,18617,0.87,4107
13,20838,0.91,16519,0.89,4024
14,19653,0.94,15431,0.93,4344
15,19340,0.98,14852,0.96,4586
16,20155,1.04,15232,1.03,5504
17,20883,1.04,16086,1.06,6249
18,22160,1.06,16920,1.05,6281
19,23307,1.05,17327,1.02,6401
20,24964,1.07,18531,1.07,7403
21,26721,1.07,19867,1.07,7989
22,28054,1.05,20901,1.05,8179
23,29625,1.06,21868,1.05,8423
24,31272,1.06,23022,1.05,8945
25,32380,1.04,23881,1.04,9034
26,33654,1.04,25205,1.06,9801
27,35905,1.07,26211,1.04,9904
28,37741,1.05,27869,1.06,11021
29,37561,1,28250,1.01,10252
30,38191,1.02,28409,1.01,9938
31,39045,1.02,28590,1.01,10062
2,36445,0,21117,0.7,0
3,33391,0.92,25576,1.21,13610
4,33418,1,25563,1,8733
5,34627,1.04,25873,1.01,9019
6,34839,1.01,26055,1.01,9159
7,37401,1.07,27109,1.04,10345
8,35425,0.95,27115,1,9609
9,32806,0.93,25380,0.94,7419
10,30020,0.92,23324,0.92,6596
11,27394,0.91,21391,0.92,5898
12,23090,0.84,18627,0.87,4328
13,20569,0.89,16399,0.88,3860
14,18896,0.92,14870,0.91,3966
15,19087,1.01,14692,0.99,4922
16,19546,1.02,14981,1.02,5431
17,19981,1.02,15305,1.02,5665
18,22021,1.1,16359,1.07,6424
19,23475,1.07,17488,1.07,7109
20,24560,1.05,18269,1.04,7049
21,25940,1.06,19367,1.06,7700
22,27740,1.07,20478,1.06,7989
23,29247,1.05,21868,1.07,8792
24,30566,1.05,22479,1.03,8376
25,33018,1.08,24452,1.09,10042
26,32996,1,24809,1.01,9124
27,34566,1.05,25785,1.04,9592
28,34628,1,26164,1.01,9451
29,36286,1.05,26388,1.01,9317
30,36604,1.01,27158,1.03,10157
31,36707,1,27647,1.02,10109
2,37650,0,21431,0.7,0
3,34210,0.91,26357,1.23,14109
4,34526,1.01,25890,0.98,8706
5,35013,1.01,26332,1.02,9497
6,36791,1.05,26972,1.02,9679
7,35812,0.97,27210,1.01,9944
8,33525,0.94,25830,0.95,7945
9,32610,0.97,24835,0.96,7751
10,30111,0.92,23688,0.95,7207
11,26955,0.9,21256,0.9,5330
12,23824,0.88,18978,0.89,4782
13,20638,0.87,16831,0.89,4238
14,19200,0.93,15229,0.9,3845
15,19767,1.03,14954,0.98,4835
16,19775,1,14821,0.99,5123
17,19930,1.01,15123,1.02,5551
18,20875,1.05,15826,1.05,5968
19,23710,1.14,17364,1.1,7185
20,25880,1.09,18794,1.08,7662
21,27074,1.05,20254,1.08,8375
22,28556,1.05,20953,1.03,7721
23,29989,1.05,21974,1.05,8512
24,32401,1.08,23785,1.08,9668
25,34002,1.05,25098,1.06,9861
26,34508,1.01,25808,1.03,9650
27,35513,1.03,26507,1.03,9776
28,35860,1.01,26649,1.01,9355
29,37585,1.05,27532,1.03,10237
30,36431,0.97,27535,1,9678
31,39417,1.08,28626,1.04,10775
2,37716,0,21380,0.7,0
3,34299,0.91,26484,1.24,14488
4,35141,1.02,26040,0.98,8620
5,36241,1.03,27174,1.04,10415
6,36481,1.01,27408,1.01,9674
7,37496,1.03,27592,1.01,9771
8,34783,0.93,26809,0.97,8929
9,32174,0.92,25060,0.93,7215
10,29907,0.93,23202,0.93,6624
11,26420,0.88,21089,0.91,5588
12,23039,0.87,18442,0.87,4242
13,20386,0.88,16293,0.88,3967
14,19073,0.94,14982,0.92,4116
15,19192,1.01,14588,0.97,4806
16,19480,1.02,14846,1.02,5314
17,21084,1.08,15791,1.06,6147
18,22108,1.05,16531,1.05,6300
19,23003,1.04,17522,1.06,6841
20,24226,1.05,18147,1.04,6763
21,25125,1.04,18725,1.03,7002
22,27429,1.09,20454,1.09,8395
23,28835,1.05,21390,1.05,8304
24,29564,1.03,22233,1.04,8459
25,32193,1.09,23830,1.07,9378
26,32921,1.02,24865,1.04,9472
27,34527,1.05,25485,1.02,9333
28,37189,1.08,27366,1.07,11017
29,37887,1.02,28022,1.02,10482
30,37654,0.99,28123,1,9831
31,40525,1.08,29546,1.05,11249
2,36778,0,21665,0.7,0
3,34276,0.93,26190,1.21,13541
4,34688,1.01,26226,1,9194
5,35564,1.03,26548,1.01,9619
6,36684,1.03,27171,1.02,9847
7,38044,1.04,28118,1.03,10581
8,36154,0.95,27277,0.97,8955
9,34012,0.94,26280,0.96,8354
10,30625,0.9,23857,0.91,6408
11,27119,0.89,21576,0.9,5643
12,23469,0.87,18927,0.88,4428
13,21361,0.91,16975,0.9,4183
14,19667,0.92,15305,0.9,4006
15,19987,1.02,15308,1,5286
16,20334,1.02,15494,1.01,5515
17,21350,1.05,15964,1.03,5942
18,21972,1.03,16686,1.05,6519
19,22727,1.03,17154,1.03,6251
20,24832,1.09,18281,1.07,7320
21,26108,1.05,19440,1.06,7709
22,28084,1.08,20566,1.06,8063
23,29385,1.05,21894,1.06,8709
24,30410,1.03,22461,1.03,8408
25,31411,1.03,23493,1.05,8993
26,32233,1.03,24094,1.03,8959
27,33183,1.03,24770,1.03,9065
28,33761,1.02,25356,1.02,9226
29,35943,1.06,26413,1.04,9869
30,37246,1.04,27216,1.03,10076
31,35907,0.96,27186,1,9709
2,35708,0,20970,0.7,0
3,33156,0.93,25169,1.2,13190
4,34657,1.05,25918,1.03,9558
5,35372,1.02,26215,1.01,9261
6,35692,1.01,26897,1.03,9854
7,37646,1.05,27709,1.03,10209
8,37598,1,27920,1.01,10025
9,34764,0.92,26472,0.95,8146
10,30847,0.89,24069,0.91,6648
11,27591,0.89,21732,0.9,5610
12,24007,0.87,19267,0.89,4772
13,21411,0.89,17001,0.88,3992
14,20380,0.95,15836,0.93,4507
15,19514,0.96,15247,0.96,4879
16,20074,1.03,15187,1,5168
17,20537,1.02,15683,1.03,5865
18,22485,1.09,16442,1.05,6332
19,24700,1.1,17813,1.08,7294
20,24949,1.01,18898,1.06,7644
21,26358,1.06,19703,1.04,7358
22,28056,1.06,20923,1.06,8236
23,29119,1.04,21979,1.05,8445
24,30501,1.05,22546,1.03,8388
25,31754,1.04,23421,1.04,8865
26,33192,1.05,24920,1.06,9750
27,35335,1.06,25958,1.04,9711
28,35314,1,26753,1.03,10084
29,36268,1.03,26858,1,9340
30,37259,1.03,28165,1.05,10750
31,39007,1.05,28971,1.03,10650
2,34733,0,20999,0.7,0
3,32807,0.94,24646,1.17,12399
4,33925,1.03,25021,1.02,8801
5,33838,1,25223,1.01,9119
6,35205,1.04,26310,1.04,9825
7,35064,1,26059,0.99,9140
8,34197,0.98,25934,1,8978
9,32910,0.96,25250,0.97,8225
10,29441,0.89,22946,0.91,6210
11,25881,0.88,20497,0.89,5257
12,22005,0.85,17867,0.87,4077
13,19826,0.9,15684,0.88,3669
14,18116,0.91,14301,0.91,3744
15,18177,1,13700,0.96,4243
16,18968,1.04,14221,1.04,5386
17,20392,1.08,15202,1.07,5973
18,21678,1.06,16472,1.08,6742
19,22722,1.05,17193,1.04,6363
20,24726,1.09,17951,1.04,6808
21,25850,1.05,19631,1.09,8282
22,27900,1.08,20655,1.05,8004
23,28517,1.02,21612,1.05,8351
24,30775,1.08,22687,1.05,8711
25,31772,1.03,23260,1.03,8690
26,33727,1.06,24916,1.07,9979
27,34346,1.02,25556,1.03,9423
28,35128,1.02,26172,1.02,9628
29,36925,1.05,27473,1.05,10441
30,36453,0.99,27446,1,9546
31,36990,1.01,27400,1,9615
2,37401,0,21108,0.7,0
3,35000,0.94,26385,1.25,14454
4,35129,1,26464,1,9230
5,34627,0.99,26064,0.98,8698
6,35600,1.03,26720,1.03,9642
7,36023,1.01,27153,1.02,9776
8,34297,0.95,25942,0.96,8136
9,32642,0.95,25265,0.97,8311
10,29280,0.9,23214,0.92,6363
11,25486,0.87,20328,0.88,4785
12,21705,0.85,17644,0.87,3946
13,19114,0.88,15292,0.87,3372
14,18383,0.96,14326,0.94,4017
15,18934,1.03,14317,1,4850
16,18894,1,14465,1.01,5162
17,20079,1.06,15036,1.04,5554
18,21488,1.07,15842,1.05,6090
19,24283,1.13,17706,1.12,7514
20,26283,1.08,19508,1.1,8250
21,27969,1.06,21037,1.08,8552
22,29277,1.05,21583,1.03,7901
23,31571,1.08,22928,1.06,9202
24,32861,1.04,24617,1.07,9980
25,33283,1.01,24834,1.01,8809
26,34552,1.04,25726,1.04,9659
27,34256,0.99,26039,1.01,9401
28,35966,1.05,27200,1.04,10212
29,36532,1.02,27355,1.01,9545
30,37145,1.02,27733,1.01,9962
31,36995,1,27910,1.01,9913
2,37490,0,21397,0.7,0
3,35162,0.94,26705,1.25,14664
4,35898,1.02,26818,1,9250
5,34990,0.97,26213,0.98,8799
6,35983,1.03,26599,1.01,9438
7,37780,1.05,27808,1.05,10596
8,35675,0.94,27115,0.98,9051
9,34129,0.96,25882,0.95,8114
10,31443,0.92,24321,0.94,7234
11,27710,0.88,21690,0.89,5479
12,24224,0.87,19299,0.89,4946
13,22082,0.91,17369,0.9,4433
14,20987,0.95,16449,0.95,5009
15,20799,0.99,16042,0.98,5147
16,21938,1.05,16640,1.04,6069
17,22637,1.03,16901,1.02,6034
18,24023,1.06,18342,1.09,7461
19,25204,1.05,18765,1.02,6778
20,25540,1.01,19172,1.02,7114
21,28052,1.1,20513,1.07,8060
22,30675,1.09,22195,1.08,9243
23,31043,1.01,23266,1.05,9081
24,32635,1.05,24353,1.05,9286
25,34996,1.07,25906,1.06,10188
26,36970,1.06,27075,1.05,10352
27,37620,1.02,28150,1.04,10501
28,40066,1.07,29270,1.04,11180
29,39428,0.98,29495,1.01,10639
30,39625,1,29885,1.01,10398
31,38769,0.98,28935,0.97,9209
2,38305,0,21346,0.71,0
3,33713,0.88,26285,1.23,14314
4,36381,1.08,26639,1.01,9181
5,36230,1,27218,1.02,9862
6,36694,1.01,27424,1.01,9892
7,36655,1,27231,0.99,9271
8,36272,0.99,27415,1.01,9609
9,33196,0.92,26001,0.95,7812
10,29880,0.9,23810,0.92,6426
11,27485,0.92,21338,0.9,5413
12,23156,0.84,18690,0.88,4456
13,21140,0.91,16519,0.88,4028
14,20301,0.96,15853,0.96,4950
15,20097,0.99,15428,0.97,5032
16,20002,1,15331,0.99,5288
17,20041,1,15263,1,5300
18,22380,1.12,16569,1.09,6711
19,22835,1.02,17344,1.05,6736
20,24708,1.08,18257,1.05,7142
21,25372,1.03,18932,1.04,7264
22,27759,1.09,20694,1.09,8432
23,29703,1.07,21835,1.06,8445
24,30815,1.04,23109,1.06,8988
25,31693,1.03,23547,1.02,8438
26,32601,1.03,24217,1.03,9030
27,33125,1.02,24702,1.02,8856
28,33447,1.01,25000,1.01,8894
29,33761,1.01,25315,1.01,8983
30,35200,1.04,26178,1.03,9717
31,37263,1.06,27217,1.04,10354
2,36059,0,21193,0.7,0
3,35546,0.99,26634,1.26,14666
4,36151,1.02,26976,1.01,9514
5,35220,0.97,26598,0.99,8958
6,36984,1.05,26976,1.01,9615
7,36773,0.99,27329,1.01,9788
8,35942,0.98,27126,0.99,9394
9,33490,0.93,25959,0.96,8228
10,30678,0.92,23904,0.92,6790
11,27868,0.91,21620,0.9,5746
12,23781,0.85,19178,0.89,4770
13,21567,0.91,17172,0.9,4326
14,21071,0.98,16226,0.94,4849
15,21384,1.01,16065,0.99,5535
16,22122,1.03,16634,1.04,6183
17,23299,1.05,17250,1.04,6505
18,24397,1.05,18062,1.05,6947
19,25712,1.05,19430,1.08,7786
20,28145,1.09,20620,1.06,7979
21,28701,1.02,21758,1.06,8503
22,29797,1.04,22044,1.01,7920
23,30807,1.03,22868,1.04,8713
24,31593,1.03,23745,1.04,8972
