Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
2,36453,0,21438,0.71,0
3,33680,0.92,25533,1.19,13291
4,33162,0.98,25303,0.99,8550
5,35122,1.06,25551,1.01,8897
6,34841,0.99,26137,1.02,9460
7,36332,1.04,27033,1.03,10010
8,34047,0.94,26288,0.97,8638
9,31092,0.91,24303,0.92,6752
10,26533,0.85,21362,0.88,5010
11,21004,0.79,17355,0.81,2872
12,14459,0.69,12811,0.74,865
13,10213,0.71,9088,0.71,10
14,7198,0.7,6386,0.7,11
15,5065,0.7,4460,0.7,16
16,3566,0.7,3195,0.72,11
17,2523,0.71,2252,0.7,10
18,1777,0.7,1582,0.7,16
19,1283,0.72,1116,0.71,21
20,944,0.74,822,0.74,27
21,720,0.76,597,0.73,33
22,540,0.75,459,0.77,43
23,439,0.81,373,0.81,39
24,367,0.84,293,0.79,49
25,338,0.92,271,0.92,65
26,347,1.03,280,1.03,89
27,389,1.12,301,1.08,116
28,417,1.07,330,1.1,128
29,475,1.14,356,1.08,145
30,505,1.06,376,1.06,153
31,584,1.16,437,1.16,194
2,37154,0,21589,0.7,0
3,35491,0.96,26564,1.23,14296
4,34759,0.98,26282,0.99,8971
5,34667,1,25989,0.99,8740
6,37605,1.08,27384,1.05,10608
7,37494,1,28102,1.03,10511
8,36551,0.97,27574,0.98,9229
9,32992,0.9,26302,0.95,8006
10,28697,0.87,22975,0.87,5277
11,23367,0.81,19206,0.84,3706
12,16881,0.72,14785,0.77,1701
13,12332,0.73,10738,0.73,460
14,9325,0.76,8014,0.75,544
15,7238,0.78,6199,0.77,614
16,6095,0.84,5095,0.82,787
17,5368,0.88,4346,0.85,893
18,5047,0.94,3982,0.92,1119
19,5029,1,3926,0.99,1271
20,5217,1.04,3981,1.01,1457
21,5781,1.11,4389,1.1,1789
22,6420,1.11,4869,1.11,2086
23,7384,1.15,5564,1.14,2446
24,8205,1.11,6214,1.12,2608
25,9267,1.13,6919,1.11,2979
26,10579,1.14,7839,1.13,3524
27,12012,1.14,8901,1.14,3928
28,13848,1.15,10245,1.15,4661
29,14767,1.07,11199,1.09,4664
30,16692,1.13,12327,1.1,5119
31,18757,1.12,13977,1.13,6105
2,37375,0,21819,0.71,0
3,33510,0.9,26252,1.2,13684
4,33317,0.99,25088,0.96,7776
5,33859,1.02,25122,1,8697
6,35348,1.04,26461,1.05,10188
7,36367,1.03,27032,1.02,9802
8,35472,0.98,26767,0.99,9285
9,31897,0.9,25111,0.94,7501
10,26672,0.84,21667,0.86,4744
11,21091,0.79,17556,0.81,2936
12,14512,0.69,12885,0.73,842
13,10229,0.7,9065,0.7,10
14,7177,0.7,6331,0.7,24
15,5067,0.71,4499,0.71,32
16,3630,0.72,3195,0.71,32
17,2623,0.72,2324,0.73,53
18,1958,0.75,1736,0.75,59
19,1508,0.77,1290,0.74,77
20,1175,0.78,992,0.77,101
21,941,0.8,789,0.8,121
22,839,0.89,682,0.86,140
23,764,0.91,636,0.93,169
24,763,1,608,0.96,173
25,827,1.08,636,1.05,231
26,941,1.14,720,1.13,299
27,1107,1.18,834,1.16,368
28,1274,1.15,973,1.17,444
29,1539,1.21,1152,1.18,542
30,1766,1.15,1285,1.12,563
31,2185,1.24,1604,1.25,807
2,36279,0,21075,0.7,0
3,35287,0.97,26785,1.27,14897
4,34741,0.98,26379,0.98,8709
5,36040,1.04,26379,1,9274
6,36645,1.02,27122,1.03,10223
7,36177,0.99,27315,1.01,9827
8,34614,0.96,26522,0.97,8660
9,31190,0.9,24446,0.92,6801
10,27260,0.87,21771,0.89,5445
11,21600,0.79,17807,0.82,3098
12,14856,0.69,13182,0.74,1034
13,10470,0.7,9303,0.71,26
14,7411,0.71,6556,0.7,46
15,5247,0.71,4655,0.71,65
16,3803,0.72,3372,0.72,69
17,2778,0.73,2414,0.72,91
18,2052,0.74,1774,0.73,102
19,1624,0.79,1397,0.79,137
20,1306,0.8,1099,0.79,146
21,1115,0.85,920,0.84,177
22,1096,0.98,887,0.96,250
23,1115,1.02,869,0.98,271
24,1202,1.08,901,1.04,342
25,1371,1.14,1028,1.14,453
26,1568,1.14,1171,1.14,569
27,1728,1.1,1296,1.11,541
28,1946,1.13,1499,1.16,679
29,2429,1.25,1777,1.19,780
30,2966,1.22,2185,1.23,1060
31,3544,1.19,2648,1.21,1270
2,35193,0,21057,0.7,0
3,32273,0.92,24895,1.18,12581
4,31784,0.98,23990,0.96,7547
5,33098,1.04,24610,1.03,8984
6,32897,0.99,24656,1,8694
7,32942,1,24442,0.99,8331
8,31519,0.96,24147,0.99,8308
9,28349,0.9,22356,0.93,6279
10,23967,0.85,19334,0.86,4401
11,18241,0.76,15473,0.8,2380
12,12630,0.69,11210,0.72,525
13,8850,0.7,7893,0.7,0
14,6293,0.71,5643,0.71,0
15,4470,0.71,4003,0.71,0
16,3157,0.71,2811,0.7,0
17,2198,0.7,1958,0.7,0
18,1513,0.69,1339,0.68,0
19,1080,0.71,948,0.71,0
20,753,0.7,676,0.71,0
21,540,0.72,474,0.7,0
22,380,0.7,341,0.72,0
23,270,0.71,245,0.72,0
24,186,0.69,165,0.67,0
25,136,0.73,128,0.78,0
26,94,0.69,80,0.63,0
27,61,0.65,56,0.7,0
28,41,0.67,34,0.61,0
29,26,0.63,23,0.68,0
30,17,0.65,17,0.74,0
31,12,0.71,11,0.65,0
2,36544,0,21643,0.7,0
3,34754,0.95,25989,1.2,13534
4,33883,0.97,25417,0.98,8404
5,35185,1.04,26313,1.04,9645
6,34375,0.98,26071,0.99,8937
7,35760,1.04,25994,1,8932
8,33498,0.94,25724,0.99,8954
9,29683,0.89,23503,0.91,6422
10,25438,0.86,20468,0.87,4622
11,20059,0.79,16765,0.82,2956
12,13762,0.69,12317,0.73,713
13,9728,0.71,8700,0.71,0
14,6842,0.7,6048,0.7,0
15,4776,0.7,4267,0.71,0
16,3378,0.71,2990,0.7,0
17,2357,0.7,2091,0.7,0
18,1664,0.71,1482,0.71,0
19,1184,0.71,1064,0.72,0
20,848,0.72,762,0.72,0
21,615,0.73,544,0.71,0
22,434,0.71,389,0.72,0
23,314,0.72,278,0.71,0
24,217,0.69,192,0.69,0
25,136,0.63,122,0.64,0
26,100,0.74,89,0.73,0
27,66,0.66,63,0.71,0
28,48,0.73,44,0.7,0
29,37,0.77,28,0.64,0
30,27,0.73,23,0.82,0
31,18,0.67,16,0.7,0
2,34758,0,21283,0.7,0
3,32986,0.95,25103,1.18,12553
4,33846,1.03,25570,1.02,9122
5,33810,1,25330,0.99,8705
6,34806,1.03,25712,1.02,9122
7,36553,1.05,26988,1.05,10425
8,35789,0.98,26881,1,9237
9,33349,0.93,25633,0.95,8033
10,28224,0.85,22573,0.88,5624
11,22699,0.8,18781,0.83,3552
12,15971,0.7,14194,0.76,1239
13,11365,0.71,9979,0.7,102
14,8211,0.72,7221,0.72,192
15,6001,0.73,5249,0.73,235
16,4584,0.76,3973,0.76,265
17,3561,0.78,3052,0.77,312
18,2962,0.83,2466,0.81,333
19,2619,0.88,2116,0.86,484
20,2520,0.96,2005,0.95,573
21,2585,1.03,1993,0.99,688
22,2707,1.05,2021,1.01,778
23,3047,1.13,2314,1.14,1047
24,3347,1.1,2490,1.08,1028
25,4028,1.2,2977,1.2,1411
26,4589,1.14,3396,1.14,1506
27,5540,1.21,4047,1.19,1930
28,6936,1.25,5002,1.24,2470
29,8504,1.23,6155,1.23,3068
30,9886,1.16,7295,1.19,3512
31,12024,1.22,8884,1.22,4196
2,36630,0,21142,0.7,0
3,33910,0.93,25575,1.21,13349
4,34650,1.02,25735,1.01,9118
5,36384,1.05,27076,1.05,10410
6,36933,1.02,27354,1.01,9812
7,36446,0.99,27400,1,9621
8,34465,0.95,26312,0.96,8448
9,31854,0.92,24668,0.94,7222
10,27759,0.87,22140,0.9,5757
11,22196,0.8,18364,0.83,3256
12,15527,0.7,13744,0.75,1229
13,10999,0.71,9659,0.7,89
14,7848,0.71,6920,0.72,137
15,5712,0.73,5019,0.73,169
16,4251,0.74,3677,0.73,181
17,3270,0.77,2831,0.77,248
18,2699,0.83,2278,0.8,288
19,2352,0.87,1951,0.86,356
20,2168,0.92,1748,0.9,435
21,2135,0.98,1658,0.95,500
22,2232,1.05,1689,1.02,580
23,2525,1.13,1933,1.14,844
24,2852,1.13,2225,1.15,960
25,3497,1.23,2552,1.15,1134
26,4159,1.19,3030,1.19,1475
27,4729,1.14,3587,1.18,1714
28,5609,1.19,4157,1.16,1880
29,6832,1.22,4871,1.17,2254
30,8096,1.19,5826,1.2,2840
31,9712,1.2,7245,1.24,3631
2,37087,0,21413,0.7,0
3,34402,0.93,25993,1.21,13712
4,34477,1,25678,0.99,8811
5,35232,1.02,26147,1.02,9399
6,34702,0.98,26393,1.01,9359
7,35033,1.01,26561,1.01,9335
8,33375,0.95,25540,0.96,8144
9,30180,0.9,23690,0.93,6786
10,26148,0.87,20832,0.88,4900
11,20829,0.8,17289,0.83,3234
12,14295,0.69,12701,0.73,852
13,10060,0.7,8932,0.7,5
14,7093,0.71,6297,0.7,10
15,4995,0.7,4419,0.7,15
16,3515,0.7,3098,0.7,15
17,2497,0.71,2230,0.72,17
18,1819,0.73,1628,0.73,28
19,1297,0.71,1154,0.71,22
20,945,0.73,824,0.71,22
21,703,0.74,615,0.75,31
22,552,0.79,465,0.76,35
23,423,0.77,354,0.76,35
24,348,0.82,294,0.83,48
25,325,0.93,267,0.91,78
26,328,1.01,249,0.93,74
27,360,1.1,270,1.08,103
28,383,1.06,296,1.1,118
29,443,1.16,325,1.1,137
30,509,1.15,372,1.14,184
31,635,1.25,459,1.23,229
2,34883,0,21248,0.71,0
3,31513,0.9,24552,1.16,12094
4,32662,1.04,24288,0.99,8068
5,34238,1.05,25323,1.04,9707
6,34484,1.01,25825,1.02,9493
7,36883,1.07,26661,1.03,9902
8,35216,0.95,26464,0.99,9186
9,32288,0.92,25002,0.94,7619
10,27336,0.85,22043,0.88,5348
11,21740,0.8,18056,0.82,3095
12,15057,0.69,13379,0.74,905
13,10687,0.71,9422,0.7,26
14,7556,0.71,6685,0.71,46
15,5365,0.71,4783,0.72,49
16,3888,0.72,3464,0.72,56
17,2837,0.73,2474,0.71,76
18,2099,0.74,1821,0.74,91
19,1579,0.75,1359,0.75,90
20,1249,0.79,1054,0.78,118
21,1062,0.85,879,0.83,144
22,972,0.92,793,0.9,168
23,927,0.95,726,0.92,216
24,949,1.02,727,1,275
25,1072,1.13,811,1.12,340
26,1150,1.07,917,1.13,366
27,1407,1.22,1028,1.12,439
28,1701,1.21,1250,1.22,609
29,2057,1.21,1524,1.22,747
30,2474,1.2,1846,1.21,890
31,2915,1.18,2145,1.16,1008
2,37228,0,21285,0.7,0
3,34409,0.92,26201,1.23,14116
4,33706,0.98,25527,0.97,8453
5,34521,1.02,25602,1,8790
6,33804,0.98,25267,0.99,8729
7,35588,1.05,26022,1.03,9637
8,34629,0.97,26116,1,9434
9,31664,0.91,24669,0.94,7411
10,27489,0.87,21990,0.89,5465
11,22348,0.81,18384,0.84,3605
12,15591,0.7,13820,0.75,1238
13,11168,0.72,9774,0.71,106
14,7937,0.71,6979,0.71,178
15,5840,0.74,5116,0.73,179
16,4313,0.74,3725,0.73,226
17,3324,0.77,2860,0.77,252
18,2741,0.82,2300,0.8,320
19,2385,0.87,1948,0.85,402
20,2208,0.93,1765,0.91,476
21,2180,0.99,1679,0.95,549
22,2231,1.02,1702,1.01,630
23,2580,1.16,1945,1.14,839
24,2783,1.08,2136,1.1,910
25,3215,1.16,2421,1.13,1001
26,3823,1.19,2903,1.2,1330
27,4509,1.18,3371,1.16,1512
28,5467,1.21,4007,1.19,1905
29,6495,1.19,4779,1.19,2293
30,7568,1.17,5607,1.17,2577
31,8964,1.18,6635,1.18,3153
2,35175,0,20980,0.7,0
3,33997,0.97,25489,1.21,13436
4,33560,0.99,25350,0.99,8749
5,34167,1.02,25513,1.01,8986
6,35703,1.04,26632,1.04,10133
7,35407,0.99,26495,0.99,9167
8,33594,0.95,26013,0.98,8595
9,30034,0.89,24258,0.93,6948
10,25502,0.85,20479,0.84,4045
11,19742,0.77,16617,0.81,2694
12,13708,0.69,12178,0.73,675
13,9649,0.7,8627,0.71,0
14,6823,0.71,6049,0.7,0
15,4818,0.71,4306,0.71,0
16,3359,0.7,2997,0.7,0
17,2381,0.71,2085,0.7,0
18,1655,0.7,1487,0.71,0
19,1162,0.7,1012,0.68,0
20,786,0.68,686,0.68,0
21,543,0.69,483,0.7,0
22,375,0.69,341,0.71,0
23,274,0.73,242,0.71,0
24,192,0.7,177,0.73,0
25,134,0.7,122,0.69,0
26,96,0.72,89,0.73,0
27,65,0.68,56,0.63,0
28,39,0.6,31,0.55,0
29,25,0.64,22,0.71,0
30,16,0.64,15,0.68,0
31,14,0.88,12,0.8,0
2,36939,0,21583,0.7,0
3,33977,0.92,25888,1.2,13395
4,34381,1.01,25856,1,8869
5,34472,1,25973,1,9302
6,35945,1.04,26577,1.02,9676
7,35292,0.98,27144,1.02,9794
8,34631,0.98,26274,0.97,8454
9,31015,0.9,24390,0.93,7004
10,26311,0.85,21338,0.87,4830
11,20815,0.79,17183,0.81,2738
12,14317,0.69,12694,0.74,888
13,10027,0.7,8904,0.7,0
14,7058,0.7,6261,0.7,0
15,4942,0.7,4387,0.7,0
16,3434,0.69,3067,0.7,0
17,2382,0.69,2126,0.69,0
18,1665,0.7,1483,0.7,0
19,1184,0.71,1055,0.71,0
20,838,0.71,737,0.7,0
21,574,0.68,515,0.7,0
22,428,0.75,376,0.73,0
23,300,0.7,267,0.71,0
24,222,0.74,196,0.73,0
25,160,0.72,138,0.7,0
26,114,0.71,101,0.73,0
27,85,0.75,77,0.76,0
28,67,0.79,59,0.77,0
29,51,0.76,39,0.66,0
30,30,0.59,27,0.69,0
31,22,0.73,20,0.74,0
2,35961,0,21364,0.7,0
3,33310,0.93,25554,1.2,13168
4,35099,1.05,26114,1.02,9325
5,35282,1.01,26531,1.02,9584
6,35606,1.01,26848,1.01,9475
7,37375,1.05,27965,1.04,10457
8,36418,0.97,27861,1,9484
9,32585,0.89,25664,0.92,7138
10,28245,0.87,22607,0.88,5457
11,22463,0.8,18664,0.83,3396
12,15812,0.7,14063,0.75,1140
13,11227,0.71,9928,0.71,71
14,8076,0.72,7089,0.71,128
15,5755,0.71,5049,0.71,125
16,4278,0.74,3737,0.74,167
17,3192,0.75,2764,0.74,168
18,2538,0.8,2179,0.79,266
19,2122,0.84,1750,0.8,274
20,1935,0.91,1526,0.87,378
21,1804,0.93,1414,0.93,417
22,1810,1,1416,1,505
23,2013,1.11,1569,1.11,650
24,2369,1.18,1800,1.15,755
25,2836,1.2,2096,1.16,926
26,3320,1.17,2475,1.18,1215
27,3879,1.17,2877,1.16,1301
28,4764,1.23,3498,1.22,1666
29,5894,1.24,4272,1.22,2073
30,6818,1.16,5147,1.2,2529
31,8184,1.2,6102,1.19,2812
2,35809,0,21067,0.7,0
3,34321,0.96,25895,1.23,13669
4,34141,0.99,26117,1.01,9087
5,33808,0.99,25663,0.98,8532
6,35272,1.04,25677,1,8892
7,34342,0.97,25949,1.01,9488
8,33534,0.98,25362,0.98,8448
9,29917,0.89,23569,0.93,6728
10,25246,0.84,20552,0.87,4728
11,19677,0.78,16630,0.81,2542
12,13633,0.69,12101,0.73,587
13,9547,0.7,8503,0.7,0
14,6764,0.71,5998,0.71,0
15,4719,0.7,4193,0.7,0
16,3332,0.71,2976,0.71,0
17,2351,0.71,2066,0.69,0
18,1643,0.7,1466,0.71,0
19,1160,0.71,1012,0.69,0
20,813,0.7,716,0.71,0
21,562,0.69,501,0.7,0
22,397,0.71,355,0.71,0
23,287,0.72,257,0.72,0
24,214,0.75,183,0.71,0
25,138,0.64,126,0.69,0
26,103,0.75,87,0.69,0
27,70,0.68,61,0.7,0
