Year,pre-breeding-pop,lambda-pb,adult-pop,lambda,new-adults
2,35339,0,21521,0.7,0
3,33121,0.94,25267,1.17,12662
4,32728,0.99,24694,0.98,7975
5,34748,1.06,25573,1.04,9562
6,34278,0.99,25520,1,9122
7,34979,1.02,26198,1.03,9581
8,35053,1,26167,1,9111
9,35750,1.02,26791,1.02,9886
10,36452,1.02,27587,1.03,10092
11,37355,1.02,27966,1.01,9900
12,38612,1.03,28667,1.03,10557
13,38252,0.99,28325,0.99,9723
14,38369,1,28750,1.02,10201
15,39160,1.02,29282,1.02,10611
16,38373,0.98,29160,1,10042
17,41045,1.07,30307,1.04,11369
18,42973,1.05,31259,1.03,11815
19,42119,0.98,31768,1.02,11545
20,42484,1.01,31462,0.99,10729
21,41288,0.97,31203,0.99,10734
22,42817,1.04,31494,1.01,10915
23,42630,1,31831,1.01,11477
24,43681,1.02,32121,1.01,11211
25,44112,1.01,32755,1.02,11878
26,43822,0.99,32835,1,11539
27,45610,1.04,33672,1.03,12271
28,46457,1.02,34430,1.02,12566
29,46204,0.99,34121,0.99,11713
30,45257,0.98,34019,1,11722
31,46040,1.02,33937,1,11526
2,35710,0,21374,0.7,0
3,33260,0.93,25559,1.2,13072
4,33791,1.02,25164,0.98,8490
5,34540,1.02,25918,1.03,9622
6,36475,1.06,26880,1.04,10035
7,36035,0.99,27211,1.01,9799
8,36135,1,26860,0.99,9040
9,37666,1.04,27740,1.03,10383
10,36951,0.98,27863,1,9855
11,37842,1.02,28104,1.01,9971
12,40305,1.07,29302,1.04,11344
13,39278,0.97,30073,1.03,11019
14,38864,0.99,29700,0.99,9770
15,40631,1.05,29998,1.01,10630
16,41868,1.03,30346,1.01,10832
17,40899,0.98,31080,1.02,11535
18,40961,1,30622,0.99,10267
19,41249,1.01,30677,1,10743
20,41749,1.01,31066,1.01,11087
21,41659,1,31083,1,10848
22,42219,1.01,31041,1,10811
23,41362,0.98,30906,1,10889
24,41029,0.99,30731,0.99,10568
25,41344,1.01,31180,1.01,11208
26,41093,0.99,30688,0.98,10290
27,41520,1.01,30937,1.01,10856
28,42384,1.02,31197,1.01,11031
29,42071,0.99,31303,1,11150
30,43251,1.03,31858,1.02,11424
31,41881,0.97,31477,0.99,10712
2,37886,0,21287,0.7,0
3,34981,0.92,26496,1.24,14477
4,34353,0.98,25781,0.97,8402
5,34720,1.01,25790,1,8823
6,34594,1,25861,1,9160
7,34781,1.01,26172,1.01,9262
8,35193,1.01,26318,1.01,9384
9,35388,1.01,26413,1,9418
10,37268,1.05,27421,1.04,10280
11,39608,1.06,29165,1.06,11466
12,40387,1.02,30150,1.03,11392
13,41054,1.02,30043,1,10389
14,41130,1,30483,1.01,10905
15,40309,0.98,30102,0.99,10112
16,38828,0.96,29727,0.99,9977
17,39950,1.03,29664,1,10046
18,40792,1.02,30046,1.01,10671
19,41895,1.03,30969,1.03,11398
20,42370,1.01,31315,1.01,11164
21,40999,0.97,30845,0.98,10516
22,42499,1.04,31235,1.01,10958
23,42450,1,31727,1.02,11263
24,42284,1,31624,1,10997
25,42541,1.01,32050,1.01,11390
26,42112,0.99,31382,0.98,10151
27,43398,1.03,31571,1.01,10981
28,42338,0.98,31688,1,11315
29,42076,0.99,31352,0.99,10638
30,42581,1.01,31638,1.01,11064
31,42917,1.01,31590,1,11072
2,34771,0,20989,0.7,0
3,32667,0.94,24893,1.19,12474
4,32344,0.99,24509,0.98,8189
5,34257,1.06,25298,1.03,9367
6,35272,1.03,26073,1.03,9867
7,34855,0.99,26149,1,9178
8,35891,1.03,26621,1.02,9578
9,36314,1.01,27226,1.02,9840
10,36503,1.01,27683,1.02,9911
11,40057,1.1,28792,1.04,10701
12,41310,1.03,30263,1.05,11914
13,40351,0.98,29933,0.99,10434
14,39989,0.99,29906,1,10387
15,40726,1.02,30552,1.02,11006
16,40912,1,29913,0.98,10015
17,42568,1.04,31106,1.04,11771
18,40011,0.94,30654,0.99,10397
19,40254,1.01,29924,0.98,9686
20,39388,0.98,29691,0.99,10101
21,40166,1.02,30557,1.03,11090
22,40597,1.01,30092,0.98,10069
23,41868,1.03,30944,1.03,11350
24,42015,1,31290,1.01,11170
25,40589,0.97,30848,0.99,10457
26,42593,1.05,31062,1.01,10879
27,43127,1.01,31796,1.02,11713
28,44018,1.02,32537,1.02,12062
29,43863,1,32706,1.01,11605
30,42657,0.97,32044,0.98,10638
31,40655,0.95,30901,0.96,9747
2,35593,0,21025,0.7,0
3,32663,0.92,25121,1.19,13022
4,32879,1.01,24710,0.98,8203
5,34825,1.06,26195,1.06,10272
6,34241,0.98,26077,1,8990
7,33578,0.98,25336,0.97,8232
8,34999,1.04,26492,1.05,10014
9,36691,1.05,26998,1.02,9702
10,38732,1.06,28870,1.07,11527
11,39136,1.01,28993,1,10238
12,38645,0.99,28985,1,10188
13,40200,1.04,29621,1.02,10952
14,39690,0.99,29654,1,10477
15,39605,1,29355,0.99,9975
16,39170,0.99,29713,1.01,10732
17,40205,1.03,29861,1,10307
18,41094,1.02,30246,1.01,10955
19,41254,1,30946,1.02,11385
20,39756,0.96,30132,0.97,9820
21,40216,1.01,29599,0.98,9872
22,39514,0.98,29904,1.01,10615
23,40204,1.02,29962,1,10470
24,42112,1.05,30508,1.02,11070
25,41413,0.98,31258,1.02,11376
26,40640,0.98,30809,0.99,10456
27,41629,1.02,30666,1,10395
28,41117,0.99,30639,1,10665
29,41987,1.02,31353,1.02,11379
30,42843,1.02,31517,1.01,11023
31,41561,0.97,31515,1,10912
2,36375,0,21463,0.7,0
3,34831,0.96,26367,1.23,13883
4,35107,1.01,26382,1,9126
5,36871,1.05,27438,1.04,10211
6,37260,1.01,27791,1.01,10119
7,37560,1.01,28329,1.02,10344
8,37626,1,28378,1,9655
9,37567,1,28461,1,9920
10,38344,1.02,28331,1,9688
11,38294,1,28911,1.02,10544
12,40715,1.06,29509,1.02,10651
13,40543,1,30315,1.03,11291
14,40903,1.01,30107,0.99,10365
15,40264,0.98,30044,1,10629
16,40955,1.02,29814,0.99,10310
17,40349,0.99,30419,1.02,11152
18,39957,0.99,29607,0.97,9774
19,39911,1,29618,1,10456
20,39757,1,29717,1,10364
21,40499,1.02,29884,1.01,10542
22,39140,0.97,29739,1,10257
23,39869,1.02,29339,0.99,9945
24,40366,1.01,29665,1.01,10633
25,40551,1,30251,1.02,11063
26,41320,1.02,30492,1.01,10762
27,42268,1.02,31386,1.03,11507
28,41841,0.99,31528,1,10992
29,44080,1.05,32195,1.02,11448
30,42435,0.96,32190,1,11261
31,41973,0.99,31415,0.98,10214
2,37267,0,21436,0.7,0
3,33707,0.9,25962,1.21,13704
4,33661,1,25151,0.97,8052
5,34479,1.02,25764,1.02,9361
6,36214,1.05,26633,1.03,9987
7,36294,1,27210,1.02,9866
8,37382,1.03,27805,1.02,10173
9,39137,1.05,28996,1.04,10942
10,41442,1.06,30268,1.04,11540
11,41873,1.01,30979,1.02,11350
12,44029,1.05,31919,1.03,11790
13,42433,0.96,31624,0.99,10971
14,43549,1.03,32455,1.03,11799
15,44260,1.02,32943,1.02,11764
16,44322,1,33217,1.01,11760
17,44717,1.01,33185,1,11404
18,43805,0.98,33011,0.99,11374
19,44238,1.01,33148,1,11354
20,43863,0.99,32426,0.98,10842
21,43654,1,32659,1.01,11493
