adult_abundance,juvenile_survival
1,0.26
1,0.25
1,0.25
1,0.25
1,0.24
1,0.25
1,0.28
1,0.23
1,0.24
1,0.23
1,0.28
1,0.24
1,0.24
1,0.25
1,0.28
1,0.24
1,0.26
1,0.24
1,0.27
1,0.26
1,0.26
1,0.25
1,0.26
1,0.25
1,0.25
1,0.25
1,0.25
1,0.23
1,0.27
1,0.25
1,0.23
1,0.26
1,0.27
1,0.25
1,0.24
1,0.24
1,0.26
1,0.26
1,0.25
1,0.26
1,0.28
1,0.25
1,0.27
1,0.25
1,0.25
1,0.25
1,0.25
1,0.25
1,0.27
1,0.25
1,0.24
1,0.27
1,0.25
1,0.25
1,0.26
1,0.23
1,0.23
1,0.29
1,0.27
1,0.26
1,0.21
1,0.26
1,0.26
1,0.28
1,0.24
1,0.25
1,0.23
1,0.25
1,0.26
1,0.26
1,0.27
1,0.25
1,0.26
1,0.24
1,0.26
1,0.26
1,0.28
1,0.27
1,0.25
1,0.22
1,0.25
1,0.25
1,0.25
1,0.25
1,0.26
1,0.24
1,0.25
1,0.25
1,0.24
1,0.24
1,0.25
1,0.24
1,0.24
1,0.25
1,0.24
1,0.26
1,0.26
1,0.26
1,0.25
1,0.25
0.9,0.27
0.9,0.27
0.9,0.28
0.9,0.28
0.9,0.27
0.9,0.27
0.9,0.24
0.9,0.27
0.9,0.27
0.9,0.29
0.9,0.27
0.9,0.31
0.9,0.28
0.9,0.27
0.9,0.28
0.9,0.27
0.9,0.28
0.9,0.27
0.9,0.26
0.9,0.27
0.9,0.27
0.9,0.26
0.9,0.27
0.9,0.25
0.9,0.26
0.9,0.28
0.9,0.26
0.9,0.29
0.9,0.27
0.9,0.25
0.9,0.3
0.9,0.28
0.9,0.29
0.9,0.29
0.9,0.25
0.9,0.28
0.9,0.27
0.9,0.28
0.9,0.26
0.9,0.28
0.9,0.3
0.9,0.27
0.9,0.24
0.9,0.29
0.9,0.26
0.9,0.27
0.9,0.29
0.9,0.27
0.9,0.26
0.9,0.27
0.9,0.26
0.9,0.26
0.9,0.27
0.9,0.28
0.9,0.27
0.9,0.26
0.9,0.25
0.9,0.28
0.9,0.28
0.9,0.26
0.9,0.28
0.9,0.26
0.9,0.25
0.9,0.28
0.9,0.29
0.9,0.28
0.9,0.3
0.9,0.26
0.9,0.26
0.9,0.3
0.9,0.24
0.9,0.27
0.9,0.28
0.9,0.28
0.9,0.28
0.9,0.27
0.9,0.27
0.9,0.28
0.9,0.28
0.9,0.27
0.9,0.26
0.9,0.24
0.9,0.29
0.9,0.27
0.9,0.28
0.9,0.27
0.9,0.28
0.9,0.29
0.9,0.27
0.9,0.28
0.9,0.27
0.9,0.28
0.9,0.28
0.9,0.27
0.9,0.27
0.9,0.28
0.9,0.26
0.9,0.26
0.9,0.24
0.9,0.3
0.8,0.29
0.8,0.3
0.8,0.28
0.8,0.3
0.8,0.32
0.8,0.27
0.8,0.29
0.8,0.28
0.8,0.32
0.8,0.3
0.8,0.3
0.8,0.28
0.8,0.29
0.8,0.28
0.8,0.29
0.8,0.29
0.8,0.32
0.8,0.27
0.8,0.31
0.8,0.28
0.8,0.29
0.8,0.3
0.8,0.31
0.8,0.3
0.8,0.28
0.8,0.29
0.8,0.28
0.8,0.26
0.8,0.3
0.8,0.27
0.8,0.3
0.8,0.3
0.8,0.28
0.8,0.32
0.8,0.32
0.8,0.28
0.8,0.31
0.8,0.3
0.8,0.27
0.8,0.31
0.8,0.29
0.8,0.3
0.8,0.3
0.8,0.31
0.8,0.3
0.8,0.31
0.8,0.29
0.8,0.29
0.8,0.28
0.8,0.27
0.8,0.28
0.8,0.28
0.8,0.29
0.8,0.28
0.8,0.25
0.8,0.28
0.8,0.27
0.8,0.29
0.8,0.29
0.8,0.29
0.8,0.29
0.8,0.3
0.8,0.3
0.8,0.32
0.8,0.27
0.8,0.32
0.8,0.32
0.8,0.27
0.8,0.31
0.8,0.26
0.8,0.27
0.8,0.27
0.8,0.29
0.8,0.26
0.8,0.29
0.8,0.28
0.8,0.28
0.8,0.28
0.8,0.29
0.8,0.28
0.8,0.28
0.8,0.28
0.8,0.27
0.8,0.25
0.8,0.29
0.8,0.27
0.8,0.28
0.8,0.3
0.8,0.28
0.8,0.26
0.8,0.28
0.8,0.27
0.8,0.27
0.8,0.31
0.8,0.3
0.8,0.3
0.8,0.3
0.8,0.31
0.8,0.29
0.8,0.28
0.7,0.33
0.7,0.27
0.7,0.31
0.7,0.28
0.7,0.34
0.7,0.32
0.7,0.29
0.7,0.3
0.7,0.31
0.7,0.32
0.7,0.32
0.7,0.3
0.7,0.31
0.7,0.35
0.7,0.3
0.7,0.31
0.7,0.3
0.7,0.3
0.7,0.33
0.7,0.32
0.7,0.29
0.7,0.32
0.7,0.32
0.7,0.33
0.7,0.32
0.7,0.31
0.7,0.31
0.7,0.3
0.7,0.31
0.7,0.29
0.7,0.3
0.7,0.32
0.7,0.3
0.7,0.31
0.7,0.31
0.7,0.32
0.7,0.35
0.7,0.32
0.7,0.3
0.7,0.32
0.7,0.3
0.7,0.31
0.7,0.33
0.7,0.31
0.7,0.32
0.7,0.34
0.7,0.31
0.7,0.3
0.7,0.31
0.7,0.34
0.7,0.3
0.7,0.32
0.7,0.3
0.7,0.32
0.7,0.29
0.7,0.31
0.7,0.34
0.7,0.33
0.7,0.34
0.7,0.3
0.7,0.29
0.7,0.32
0.7,0.32
0.7,0.33
0.7,0.32
0.7,0.29
0.7,0.3
0.7,0.31
0.7,0.29
0.7,0.31
0.7,0.32
0.7,0.32
0.7,0.31
0.7,0.31
0.7,0.33
0.7,0.34
0.7,0.27
0.7,0.32
0.7,0.31
0.7,0.32
0.7,0.32
0.7,0.31
0.7,0.3
0.7,0.35
0.7,0.32
0.7,0.31
0.7,0.31
0.7,0.31
0.7,0.32
0.7,0.31
0.7,0.32
0.7,0.31
0.7,0.31
0.7,0.33
0.7,0.3
0.7,0.32
0.7,0.31
0.7,0.33
0.7,0.32
0.7,0.31
0.6,0.31
0.6,0.32
0.6,0.33
0.6,0.33
0.6,0.32
0.6,0.34
0.6,0.34
0.6,0.36
0.6,0.33
0.6,0.36
0.6,0.36
0.6,0.32
0.6,0.35
0.6,0.31
0.6,0.33
0.6,0.34
0.6,0.33
0.6,0.35
0.6,0.34
0.6,0.33
0.6,0.31
0.6,0.35
0.6,0.35
0.6,0.32
0.6,0.34
0.6,0.32
0.6,0.34
0.6,0.34
0.6,0.32
0.6,0.34
0.6,0.33
0.6,0.34
0.6,0.35
0.6,0.32
0.6,0.36
0.6,0.35
0.6,0.32
0.6,0.3
0.6,0.32
0.6,0.34
0.6,0.36
0.6,0.33
0.6,0.32
0.6,0.35
0.6,0.29
0.6,0.32
0.6,0.35
0.6,0.32
0.6,0.32
0.6,0.33
0.6,0.3
0.6,0.33
0.6,0.32
0.6,0.36
0.6,0.32
0.6,0.33
0.6,0.33
0.6,0.32
0.6,0.32
0.6,0.35
0.6,0.34
0.6,0.31
0.6,0.31
0.6,0.32
0.6,0.32
0.6,0.35
0.6,0.34
0.6,0.33
0.6,0.34
0.6,0.34
0.6,0.33
0.6,0.31
0.6,0.37
0.6,0.31
0.6,0.32
0.6,0.33
0.6,0.33
0.6,0.32
0.6,0.33
0.6,0.33
0.6,0.33
0.6,0.32
0.6,0.32
0.6,0.32
0.6,0.34
0.6,0.32
0.6,0.31
0.6,0.32
0.6,0.33
0.6,0.35
0.6,0.35
0.6,0.32
0.6,0.32
0.6,0.34
0.6,0.33
0.6,0.34
0.6,0.32
0.6,0.35
0.6,0.33
0.6,0.33
0.5,0.37
0.5,0.35
0.5,0.36
0.5,0.36
0.5,0.35
0.5,0.35
0.5,0.36
0.5,0.35
0.5,0.37
0.5,0.35
0.5,0.38
0.5,0.36
0.5,0.31
0.5,0.37
0.5,0.37
0.5,0.4
0.5,0.36
0.5,0.37
0.5,0.36
0.5,0.35
0.5,0.35
0.5,0.38
0.5,0.37
0.5,0.36
0.5,0.39
0.5,0.36
0.5,0.36
0.5,0.36
0.5,0.38
0.5,0.36
0.5,0.34
0.5,0.36
0.5,0.38
0.5,0.36
0.5,0.36
0.5,0.34
0.5,0.35
0.5,0.37
0.5,0.32
0.5,0.34
0.5,0.35
0.5,0.38
0.5,0.34
0.5,0.34
0.5,0.35
0.5,0.37
0.5,0.38
0.5,0.35
0.5,0.38
0.5,0.37
0.5,0.35
0.5,0.37
0.5,0.37
0.5,0.38
0.5,0.37
0.5,0.37
0.5,0.35
0.5,0.33
0.5,0.34
0.5,0.38
0.5,0.33
0.5,0.36
0.5,0.33
0.5,0.37
0.5,0.35
0.5,0.35
0.5,0.37
0.5,0.36
0.5,0.36
0.5,0.38
0.5,0.34
0.5,0.35
0.5,0.37
0.5,0.36
0.5,0.36
0.5,0.38
0.5,0.37
0.5,0.36
0.5,0.36
0.5,0.36
0.5,0.36
0.5,0.37
0.5,0.36
0.5,0.34
0.5,0.36
0.5,0.34
0.5,0.37
0.5,0.38
0.5,0.34
0.5,0.36
0.5,0.33
0.5,0.36
0.5,0.35
0.5,0.34
0.5,0.35
0.5,0.38
0.5,0.35
0.5,0.36
0.5,0.34
0.5,0.38
0.4,0.38
0.4,0.36
0.4,0.38
0.4,0.39
0.4,0.37
0.4,0.41
0.4,0.38
0.4,0.4
0.4,0.38
0.4,0.43
0.4,0.37
0.4,0.39
0.4,0.41
0.4,0.38
0.4,0.39
0.4,0.37
0.4,0.38
0.4,0.38
0.4,0.37
0.4,0.38
0.4,0.38
0.4,0.39
0.4,0.38
0.4,0.42
0.4,0.38
0.4,0.39
0.4,0.41
0.4,0.36
0.4,0.39
0.4,0.36
0.4,0.38
0.4,0.37
0.4,0.4
0.4,0.39
0.4,0.4
0.4,0.39
0.4,0.36
0.4,0.38
0.4,0.38
0.4,0.39
0.4,0.4
0.4,0.39
0.4,0.39
0.4,0.4
0.4,0.39
0.4,0.41
0.4,0.39
0.4,0.37
0.4,0.41
0.4,0.39
0.4,0.38
0.4,0.38
0.4,0.39
0.4,0.39
0.4,0.39
0.4,0.37
0.4,0.4
0.4,0.39
0.4,0.36
0.4,0.36
0.4,0.39
0.4,0.36
0.4,0.4
0.4,0.38
0.4,0.37
0.4,0.39
0.4,0.37
0.4,0.41
0.4,0.4
0.4,0.4
0.4,0.36
0.4,0.39
0.4,0.41
0.4,0.4
0.4,0.38
0.4,0.38
0.4,0.39
0.4,0.4
0.4,0.37
0.4,0.37
0.4,0.38
0.4,0.4
0.4,0.4
0.4,0.38
0.4,0.37
0.4,0.4
0.4,0.4
0.4,0.42
0.4,0.38
0.4,0.38
0.4,0.4
0.4,0.41
0.4,0.38
0.4,0.38
0.4,0.39
0.4,0.38
0.4,0.38
0.4,0.4
0.4,0.39
0.4,0.37
0.3,0.4
0.3,0.42
0.3,0.42
0.3,0.41
0.3,0.4
0.3,0.41
0.3,0.43
0.3,0.42
0.3,0.41
0.3,0.41
0.3,0.41
0.3,0.42
0.3,0.42
0.3,0.39
0.3,0.41
0.3,0.41
0.3,0.41
0.3,0.42
0.3,0.39
0.3,0.4
0.3,0.43
0.3,0.42
0.3,0.41
0.3,0.42
0.3,0.43
0.3,0.41
0.3,0.42
0.3,0.42
0.3,0.41
0.3,0.42
0.3,0.42
0.3,0.41
0.3,0.41
0.3,0.42
0.3,0.41
0.3,0.44
0.3,0.41
0.3,0.41
0.3,0.37
0.3,0.42
0.3,0.41
0.3,0.44
0.3,0.38
0.3,0.41
0.3,0.37
0.3,0.41
0.3,0.41
0.3,0.39
0.3,0.41
0.3,0.42
0.3,0.39
0.3,0.39
0.3,0.43
0.3,0.41
0.3,0.41
0.3,0.4
0.3,0.41
0.3,0.4
0.3,0.4
0.3,0.41
0.3,0.42
0.3,0.4
0.3,0.42
0.3,0.44
0.3,0.42
0.3,0.43
0.3,0.38
0.3,0.39
0.3,0.39
0.3,0.44
0.3,0.43
0.3,0.4
0.3,0.41
0.3,0.39
0.3,0.41
0.3,0.4
0.3,0.42
0.3,0.4
0.3,0.43
0.3,0.38
0.3,0.41
0.3,0.43
0.3,0.42
0.3,0.39
0.3,0.4
0.3,0.41
0.3,0.42
0.3,0.42
0.3,0.41
0.3,0.41
0.3,0.4
0.3,0.38
0.3,0.39
0.3,0.41
0.3,0.43
0.3,0.41
0.3,0.39
0.3,0.4
0.3,0.42
0.3,0.4
0.2,0.46
0.2,0.42
0.2,0.47
0.2,0.45
0.2,0.44
0.2,0.45
0.2,0.45
0.2,0.42
0.2,0.43
0.2,0.44
0.2,0.41
0.2,0.43
0.2,0.44
0.2,0.45
0.2,0.45
0.2,0.45
0.2,0.42
0.2,0.46
0.2,0.44
0.2,0.45
0.2,0.44
0.2,0.44
0.2,0.43
0.2,0.47
0.2,0.43
0.2,0.43
0.2,0.49
0.2,0.43
0.2,0.44
0.2,0.46
0.2,0.45
0.2,0.45
0.2,0.44
0.2,0.44
0.2,0.43
0.2,0.42
0.2,0.44
0.2,0.43
0.2,0.46
0.2,0.44
0.2,0.44
0.2,0.42
0.2,0.45
0.2,0.4
0.2,0.48
0.2,0.44
0.2,0.44
0.2,0.42
0.2,0.43
0.2,0.44
0.2,0.44
0.2,0.41
0.2,0.46
0.2,0.45
0.2,0.44
0.2,0.4
0.2,0.45
0.2,0.45
0.2,0.45
0.2,0.47
0.2,0.43
0.2,0.44
0.2,0.44
0.2,0.44
0.2,0.43
0.2,0.42
0.2,0.46
0.2,0.43
0.2,0.43
0.2,0.47
0.2,0.43
0.2,0.47
0.2,0.44
0.2,0.45
0.2,0.43
0.2,0.43
0.2,0.43
0.2,0.43
0.2,0.44
0.2,0.41
0.2,0.42
0.2,0.44
0.2,0.44
0.2,0.46
0.2,0.44
0.2,0.44
0.2,0.44
0.2,0.44
0.2,0.43
0.2,0.43
0.2,0.46
0.2,0.45
0.2,0.44
0.2,0.41
0.2,0.44
0.2,0.47
0.2,0.44
0.2,0.42
0.2,0.46
0.2,0.43
0.1,0.48
0.1,0.45
0.1,0.48
0.1,0.49
0.1,0.47
0.1,0.48
0.1,0.46
0.1,0.46
0.1,0.49
0.1,0.46
0.1,0.48
0.1,0.47
0.1,0.47
0.1,0.49
0.1,0.47
0.1,0.48
0.1,0.47
0.1,0.46
0.1,0.45
0.1,0.46
0.1,0.5
0.1,0.5
0.1,0.48
0.1,0.45
0.1,0.48
0.1,0.48
0.1,0.44
0.1,0.49
0.1,0.49
0.1,0.49
0.1,0.49
0.1,0.46
0.1,0.47
0.1,0.45
0.1,0.48
0.1,0.44
0.1,0.47
0.1,0.47
0.1,0.46
0.1,0.46
0.1,0.46
0.1,0.48
0.1,0.49
0.1,0.46
0.1,0.46
0.1,0.46
0.1,0.49
0.1,0.48
0.1,0.48
0.1,0.48
0.1,0.44
0.1,0.46
0.1,0.48
0.1,0.49
0.1,0.47
0.1,0.47
0.1,0.47
0.1,0.46
0.1,0.46
0.1,0.45
0.1,0.47
0.1,0.46
0.1,0.47
0.1,0.46
0.1,0.44
0.1,0.44
0.1,0.45
0.1,0.47
0.1,0.45
0.1,0.48
0.1,0.46
0.1,0.48
0.1,0.45
0.1,0.49
0.1,0.47
0.1,0.51
0.1,0.48
0.1,0.48
0.1,0.46
0.1,0.47
0.1,0.5
0.1,0.45
0.1,0.46
0.1,0.49
0.1,0.46
0.1,0.47
0.1,0.48
0.1,0.45
0.1,0.45
0.1,0.46
0.1,0.48
0.1,0.45
0.1,0.46
0.1,0.47
0.1,0.51
0.1,0.46
0.1,0.45
0.1,0.47
0.1,0.43
0.1,0.47
